address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,"55 Fairway Crawley, WA 6009",Land size,Building size,Year Built,rent,rent date,agent
31 Parkway,Crawley,WA,6009,31 Parkway Crawley WA 6009,"$815,000",Apr-18,House,3,1,2,233,117,,$650pw,Jan-21,Hub Residential - SWANBOURNE
23A Everett Street,Crawley,WA,6009,23A Everett Street Crawley WA 6009,"$950,000",Mar-18,Townhouse,3,3,2,156,145,2004,,,Knight Frank - Perth
6/44 Broadway,Crawley,WA,6009,6/44 Broadway Crawley WA 6009,"$545,000",Mar-18,Apartment,2,1,1,123,77,1980,,,Gordon Davies Real Estate - DALKEITH
40 Everett Street,Crawley,WA,6009,40 Everett Street Crawley WA 6009,"$815,000",Mar-18,House,3,1,,257,117,1969,$300pw,Sep-15,
41/3 Park Avenue,Crawley,WA,6009,41/3 Park Avenue Crawley WA 6009,"$1,220,000",Feb-18,Apartment,3,2,2,175,175,1983,,,Perth Lifestyle Residential - Lifestyle Is Where I
4W/16 Kings Park Avenue,Crawley,WA,6009,4W/16 Kings Park Avenue Crawley WA 6009,"$929,000",Feb-18,Apartment,3,2,2,190,,,,,Perth Lifestyle Residential - Lifestyle Is Where I
123 Fairway,Crawley,WA,6009,123 Fairway Crawley WA 6009,"$818,000",Feb-18,House,4,1,,160,150,1956,,,
4/124 Broadway,Crawley,WA,6009,4/124 Broadway Crawley WA 6009,"$350,000",Feb-18,Unit,2,1,1,68,65,1958,$375pw,Nov-19,Collective Property Group WA - COTTESLOE
8/19 Princess Road,Crawley,WA,6009,8/19 Princess Road Crawley WA 6009,"$295,000",Jan-18,Unit,1,1,1,50,65,1966,$325pw,Aug-14,Shellabears - Cottesloe
2/19 Princess Road,Crawley,WA,6009,2/19 Princess Road Crawley WA 6009,"$300,000",Jan-18,Unit,1,1,1,50,50,1966,$270pw,Oct-17,Shellabears - Cottesloe
5/19 Princess Road,Crawley,WA,6009,5/19 Princess Road Crawley WA 6009,"$307,500",Jan-18,Unit,1,1,1,50,50,1966,$375pw,Mar-18,
17/3 Park Avenue,Crawley,WA,6009,17/3 Park Avenue Crawley WA 6009,"$1,640,000",Jan-18,Unit,3,1,2,175,175,1983,,,
5/10 Kings Park Avenue,Crawley,WA,6009,5/10 Kings Park Avenue Crawley WA 6009,"$1,700,000",Dec-17,Unit,3,3,2,274,187,1999,,,
1/151 Fairway,Crawley,WA,6009,1/151 Fairway Crawley WA 6009,"$490,000",Dec-17,Unit,2,1,1,83,80,1964,$525pw,Sep-15,Shellabears - Cottesloe
2/224 Hampden Road,Crawley,WA,6009,2/224 Hampden Road Crawley WA 6009,"$660,000",13 Dec 2017(Auction),Townhouse,2,2,1,69,82,2004,$525pw,Feb-20,Realmark Central
15W/16 Kings Park Avenue,Crawley,WA,6009,15W/16 Kings Park Avenue Crawley WA 6009,"$1,410,000",Dec-17,Apartment,3,2,2,190,190,,,,Perth Lifestyle Residential - Lifestyle Is Where I
6/60 Broadway,Crawley,WA,6009,6/60 Broadway Crawley WA 6009,"$500,000",Nov-17,Apartment,2,1,1,114,97,1938,$450pw,Jun-21,Rossen Real Estate - Nedlands
82/4 Crawley Avenue,Crawley,WA,6009,82/4 Crawley Avenue Crawley WA 6009,"$840,000",Nov-17,Unit,2,2,2,158,162,1970,$620pw,Jun-09,LJ Hooker - Dalkeith | Claremont
16C Princess Road,Crawley,WA,6009,16C Princess Road Crawley WA 6009,"$607,000",Nov-17,Townhouse,2,2,1,172,95,1938,$600pw,Jun-19,Acton - Dalkeith
25 70-72 Broadway,Crawley,WA,6009,25 70-72 Broadway Crawley WA 6009,"$337,500",Nov-17,Unit,1,1,1,44,46,1964,,,Residential West
6/10 The Avenue,Crawley,WA,6009,6/10 The Avenue Crawley WA 6009,"$850,000",Nov-17,Unit,2,2,2,105,105,1979,,,Collective Property Group WA - COTTESLOE
1/26 The Avenue,Crawley,WA,6009,1/26 The Avenue Crawley WA 6009,"$849,000",Oct-17,House,3,2,2,110,110,1985,,,Perth Lifestyle Residential - Lifestyle Is Where I
8/126 Broadway,Crawley,WA,6009,8/126 Broadway Crawley WA 6009,"$330,000",Oct-17,Commercial,,,1,91,82,,,,
3/4 Wingfield Avenue,Crawley,WA,6009,3/4 Wingfield Avenue Crawley WA 6009,"$875,000",Oct-17,Townhouse,3,2,2,222,176,,,,Shellabears - Cottesloe
32/212 Hampden Road,Crawley,WA,6009,32/212 Hampden Road Crawley WA 6009,"$252,000",Oct-17,Apartment,1,1,1,39,39,1968,$260pw,Dec-19,Kempton Azzopardi - Nedlands
1/17-23 The Avenue,Crawley,WA,6009,1/17-23 The Avenue Crawley WA 6009,"$310,000",Oct-17,Apartment,1,1,1,41,45,1963,$350pw,Mar-21,Acton - Dalkeith
8/8 Mounts Bay Road,Crawley,WA,6009,8/8 Mounts Bay Road Crawley WA 6009,"$2,050,000",Sep-17,House,3,3,2,284,181,2006,,,Perth Lifestyle Residential - Lifestyle Is Where I
12/10 Kings Park Avenue,Crawley,WA,6009,12/10 Kings Park Avenue Crawley WA 6009,"$2,900,000",Sep-17,Unit,3,3,6,462,187,,"$1,900pw",Aug-11,William Porteous Properties International Pty Ltd 
4/133 Fairway,Crawley,WA,6009,4/133 Fairway Crawley WA 6009,"$530,000",Aug-17,Townhouse,2,1,1,104,97,1980,$400pw,Jan-21,LJ Hooker - Dalkeith | Claremont
7/10 The Avenue,Crawley,WA,6009,7/10 The Avenue Crawley WA 6009,"$1,125,000",Aug-17,Apartment,3,2,2,152,152,1979,,,Acton - Dalkeith
22/70-72 Broadway,Crawley,WA,6009,22/70-72 Broadway Crawley WA 6009,"$253,000",Jul-17,Apartment,1,1,1,48,48,1964,$285pw,Jan-19,
22/70 Broadway,Crawley,WA,6009,22/70 Broadway Crawley WA 6009,"$253,000",Jul-17,Apartment,1,1,1,48,48,1964,$285pw,Jan-19,Kempton Azzopardi - Nedlands
9E/16 Kings Park Avenue,Crawley,WA,6009,9E/16 Kings Park Avenue Crawley WA 6009,"$1,300,000",Jul-17,Apartment,3,2,2,190,,,,,Signature Property Group WA - SUBIACO
7/10 Kings Park Avenue,Crawley,WA,6009,7/10 Kings Park Avenue Crawley WA 6009,"$1,720,000",Jun-17,Apartment,3,3,3,289,187,1999,"$1,350pw",Jun-16,Vivians Residential Real Estate - MOSMAN PARK
12/18 The Avenue,Crawley,WA,6009,12/18 The Avenue Crawley WA 6009,"$505,000",Jun-17,Apartment,2,1,1,76,84,1968,$350pw,Jun-18,Bellcourt Property Group - SHENTON PARK
9/74 Broadway,Crawley,WA,6009,9/74 Broadway Crawley WA 6009,"$500,000",May-17,Apartment,3,1,1,91,91,1966,$600pw,Feb-20,Acton - Dalkeith
58/3 Park Avenue,Crawley,WA,6009,58/3 Park Avenue Crawley WA 6009,"$1,475,000",May-17,Apartment,3,2,2,175,175,,$895pw,Oct-18,TM Residential - Dalkeith
5/18 The Avenue,Crawley,WA,6009,5/18 The Avenue Crawley WA 6009,"$480,000",May-17,Apartment,2,1,1,70,78,1968,$420pw,Jul-21,MAS Real Estate - Nedlands
6/18 The Avenue,Crawley,WA,6009,6/18 The Avenue Crawley WA 6009,"$540,000",May-17,Apartment,2,1,1,76,76,1968,$390pw,Jul-21,MAS Real Estate - Nedlands
4/15 Cook Street,Crawley,WA,6009,4/15 Cook Street Crawley WA 6009,"$565,000",May-17,Townhouse,3,1,1,102,107,1981,,,LJ Hooker Claremont
13/48 Broadway,Crawley,WA,6009,13/48 Broadway Crawley WA 6009,"$400,000",May-17,Townhouse,2,1,1,66,69,1982,$380pw,Aug-20,Realmark Western Suburbs - NEDLANDS
35/212 Hampden Road,Crawley,WA,6009,35/212 Hampden Road Crawley WA 6009,"$285,000",Apr-17,Unit,1,1,1,39,39,1968,,,No Agent Property
3/166 Broadway,Crawley,WA,6009,3/166 Broadway Crawley WA 6009,"$2,100,000",Apr-17,Apartment,4,3,3,368,300,1990,"$1,200pw",Dec-16,William Porteous Properties International Pty Ltd 
9A Princess Road,Crawley,WA,6009,9A Princess Road Crawley WA 6009,"$955,000",Apr-17,House,3,2,1,267,132,1974,,,Acton North - CITY BEACH
3/121 Fairway,Crawley,WA,6009,3/121 Fairway Crawley WA 6009,"$800,000",Mar-17,Townhouse,3,2,1,213,115,2000,$550pw,Apr-17,Acton - Dalkeith
12/18 Park Road,Crawley,WA,6009,12/18 Park Road Crawley WA 6009,"$525,000",Mar-17,Apartment,1,1,1,97,61,2016,$370pw,May-19,Mint Real Estate - Claremont
8C Park Road,Crawley,WA,6009,8C Park Road Crawley WA 6009,"$550,000",Mar-17,Townhouse,1,1,1,112,81,2001,$395pw,May-17,Kempton Azzopardi - Nedlands
5/22 The Avenue,Crawley,WA,6009,5/22 The Avenue Crawley WA 6009,"$1,300,000",Mar-17,Apartment,2,2,2,142,142,1981,$590pw,Aug-15,Realmark Western Suburbs - NEDLANDS
10/14 Park Road,Crawley,WA,6009,10/14 Park Road Crawley WA 6009,"$605,000",Mar-17,Townhouse,3,1,1,99,94,1977,$440pw,Oct-20,Abel Property - Leederville
1/153 Fairway,Crawley,WA,6009,1/153 Fairway Crawley WA 6009,"$455,000",Mar-17,Unit,2,1,1,55,57,1964,$515pw,Mar-13,The Property Exchange - Subiaco
4/14 Cook Street,Crawley,WA,6009,4/14 Cook Street Crawley WA 6009,"$775,000",Feb-17,Townhouse,3,2,2,123,123,1984,$600pw,Jan-20,Airey Real Estate
3/11 The Avenue,Crawley,WA,6009,3/11 The Avenue Crawley WA 6009,"$900,000",Feb-17,Townhouse,3,2,2,270,149,1996,$625pw,Oct-17,Mack Hall Real Estate - Claremont
9/25 The Avenue,Crawley,WA,6009,9/25 The Avenue Crawley WA 6009,"$470,000",Feb-17,Unit,2,1,1,74,70,1965,$370pw,Oct-20,Abel McGrath Property Group - Claremont
6/14-18 Kings Park Avenue,Crawley,WA,6009,6/14-18 Kings Park Avenue Crawley WA 6009,"$835,000",Feb-17,Apartment,3,2,2,190,190,1972,,,
6/14 Kings Park Avenue,Crawley,WA,6009,6/14 Kings Park Avenue Crawley WA 6009,"$835,000",Feb-17,Apartment,3,2,2,190,190,1972,,,Acton Cottesloe - Peppermint Grove
47/3 Park Avenue,Crawley,WA,6009,47/3 Park Avenue Crawley WA 6009,"$1,650,000",Feb-17,Apartment,3,2,2,175,175,1983,,,Mack Hall Real Estate - Claremont
11e 16 Kings Park Avenue,Crawley,WA,6009,11e 16 Kings Park Avenue Crawley WA 6009,"$949,500",Feb-17,Apartment,3,2,2,,,1972,$895pw,31/12/2019,Mack Hall Real Estate - Claremont
6/166 Broadway,Crawley,WA,6009,6/166 Broadway Crawley WA 6009,"$3,500,000",Jan-17,Unit,4,2,3,374,374,1990,"$1,750pw",Jan-17,William Porteous Properties International Pty Ltd 
1/133 Fairway,Crawley,WA,6009,1/133 Fairway Crawley WA 6009,"$490,000",Jan-17,Unit,2,1,1,90,87,1980,,,
1/42 Broadway,Crawley,WA,6009,1/42 Broadway Crawley WA 6009,"$433,000",Dec-16,Apartment,2,1,1,85,85,1965,$350pw,Nov-20,Realmark Western Suburbs - NEDLANDS
9/12 Wingfield Avenue,Crawley,WA,6009,9/12 Wingfield Avenue Crawley WA 6009,"$840,000",Dec-16,Apartment,3,1,1,127,130,1975,$625pw,Nov-16,Acton - Dalkeith
4/18 Park Road,Crawley,WA,6009,4/18 Park Road Crawley WA 6009,"$707,000",Dec-16,Apartment,2,2,1,120,92,2016,,,Mint Real Estate - Claremont
10/9 Everett Street,Crawley,WA,6009,10/9 Everett Street Crawley WA 6009,"$410,000",Nov-16,Apartment,2,1,1,109,90,1969,$395pw,Jul-20,Rossen Real Estate - Nedlands
1/15 Cook Street,Crawley,WA,6009,1/15 Cook Street Crawley WA 6009,"$625,000",Nov-16,Unit,3,1,2,122,116,1981,$500pw,Oct-16,Airey Real Estate
8/149 Fairway,Crawley,WA,6009,8/149 Fairway Crawley WA 6009,"$520,000",Nov-16,Apartment,2,1,1,74,69,1974,$400pw,Jan-14,ACTON Dalkeith
3/11 Wingfield Avenue,Crawley,WA,6009,3/11 Wingfield Avenue Crawley WA 6009,"$945,000",Oct-16,House,2,1,2,145,145,1972,,,Bexleys Real Estate - Wembley
4/60 Broadway,Crawley,WA,6009,4/60 Broadway Crawley WA 6009,"$475,000",Sep-16,Unit,2,1,1,119,87,1940,$495pw,Feb-17,Harcourts - Integrity
29 Parkway,Crawley,WA,6009,29 Parkway Crawley WA 6009,"$805,000",Sep-16,House,3,1,1,301,163,1969,$550pw,Jul-19,William Porteous Properties International Pty Ltd 
2W/4 Crawley Avenue,Crawley,WA,6009,2W/4 Crawley Avenue Crawley WA 6009,"$695,000",Sep-16,Apartment,3,2,2,202,,1970,,,Kempton Azzopardi - Nedlands
59/3 Park Avenue,Crawley,WA,6009,59/3 Park Avenue Crawley WA 6009,"$1,500,000",Aug-16,Apartment,3,2,3,175,175,1983,,,Vivians Residential Real Estate - MOSMAN PARK
8/17-23 The Avenue,Crawley,WA,6009,8/17-23 The Avenue Crawley WA 6009,"$327,000",Aug-16,Apartment,1,1,1,45,41,1963,$365pw,Jun-21,Kempton Azzopardi - Nedlands
8/17 The Avenue,Crawley,WA,6009,8/17 The Avenue Crawley WA 6009,"$327,000",Aug-16,Apartment,1,1,1,45,41,1963,$365pw,Jun-21,
4/158 Broadway,Crawley,WA,6009,4/158 Broadway Crawley WA 6009,"$322,000",Aug-16,Unit,1,1,1,52,54,1961,$300pw,Jan-20,Realmark - Applecross
1/18 PARK Road,Crawley,WA,6009,1/18 PARK Road Crawley WA 6009,"$735,000",Jul-16,Unit,2,1,1,121,92,2016,$600pw,Dec-17,
2/18 PARK Road,Crawley,WA,6009,2/18 PARK Road Crawley WA 6009,"$720,000",Jul-16,Unit,2,2,1,123,93,2016,$650pw,Feb-21,
5/18 PARK Road,Crawley,WA,6009,5/18 PARK Road Crawley WA 6009,"$530,000",Jul-16,Townhouse,1,1,1,98,61,2016,$460pw,Mar-21,
9/4 Crawley Avenue,Crawley,WA,6009,9/4 Crawley Avenue Crawley WA 6009,"$725,500",Jul-16,Apartment,3,2,4,"3,847",158,1970,$595pw,Jan-17,Space Real Estate - Cottesloe
13 The Avenue,Crawley,WA,6009,13 The Avenue Crawley WA 6009,"$2,300,000",Jul-16,Unit,4,3,2,"1,012",,1951,,,Signature Property Group WA - SUBIACO
4/20 Mounts Bay Road,Crawley,WA,6009,4/20 Mounts Bay Road Crawley WA 6009,"$1,020,000",Jun-16,Unit,2,2,2,175,147,1969,$595pw,Aug-16,LJ Hooker - Claremont
4/16 The Avenue,Crawley,WA,6009,4/16 The Avenue Crawley WA 6009,"$4,800,000",Jun-16,Unit,4,3,4,416,416,1987,,,William Porteous Properties International Pty Ltd 
34/3 Park Avenue,Crawley,WA,6009,34/3 Park Avenue Crawley WA 6009,"$1,100,000",Jun-16,Unit,3,2,2,175,175,1983,,,LJ Hooker - Claremont
7/158 Broadway,Crawley,WA,6009,7/158 Broadway Crawley WA 6009,"$295,000",May-16,Apartment,1,1,1,52,54,1961,,,Key Performance Realty - Perth
14/150 Broadway,Crawley,WA,6009,14/150 Broadway Crawley WA 6009,"$695,000",Apr-16,Apartment,2,1,1,,,,,,Indo-Pacific Property - Sage on Broadway
4/150 Broadway,Crawley,WA,6009,4/150 Broadway Crawley WA 6009,"$780,000",Apr-16,Apartment,2,2,1,,,,,,Indo-Pacific Property - Sage on Broadway
1/159 Fairway,Crawley,WA,6009,1/159 Fairway Crawley WA 6009,"$335,000",Apr-16,Apartment,1,1,1,"1,022",54,,$300pw,Nov-19,Abode Real Estate - Cottesloe
5/7 Princess Road,Crawley,WA,6009,5/7 Princess Road Crawley WA 6009,"$420,000",Apr-16,Unit,2,1,1,65,65,1957,$400pw,Dec-18,
