address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent
4/14 Monash Avenue,Nedlands,WA,6009,4/14 Monash Avenue Nedlands WA 6009,"$615,000",Apr-21,Townhouse,3,1,1,104,109,1981,,,Marie Staniland
51 Stanley Street,Nedlands,WA,6009,51 Stanley Street Nedlands WA 6009,"$1,830,000",Apr-21,House,6,2,2,"1,012",256,1949,$920pw,Mar-18,
2 Thomas Street,Nedlands,WA,6009,2 Thomas Street Nedlands WA 6009,"$1,850,000",Apr-21,House,3,2,2,"1,046",101,1945,,,Michelle Kerr
7/59 Dalkeith Road,Nedlands,WA,6009,7/59 Dalkeith Road Nedlands WA 6009,"$620,000",Apr-21,Townhouse,3,1,1,93,93,1978,$390pw,Aug-20,Kate Gale
88 Bruce Street,Nedlands,WA,6009,88 Bruce Street Nedlands WA 6009,"$1,530,000",Apr-21,House,3,3,2,342,180,1950,,,Michelle Kerr
104 Williams Road,Nedlands,WA,6009,104 Williams Road Nedlands WA 6009,"$745,000",Mar-21,House,2,1,1,343,93,1945,$380pw,Feb-20,Alison Davies
14 Karella Street,Nedlands,WA,6009,14 Karella Street Nedlands WA 6009,"$1,450,000",Mar-21,House,3,3,2,594,205,1965,,,Susan James
14 Loch Street,Nedlands,WA,6009,14 Loch Street Nedlands WA 6009,"$950,000",Mar-21,House,2,1,1,696,130,1920,,,Stuart Paterson
15/26 Broome Street,Nedlands,WA,6009,15/26 Broome Street Nedlands WA 6009,"$555,000",Mar-21,House,3,1,1,110,110,1976,$430pw,Sep-16,Peter Clements
66 Bruce Street,Nedlands,WA,6009,66 Bruce Street Nedlands WA 6009,"$2,250,000",Mar-21,House,6,3,2,880,403,1930,,,
2/16 Monash Avenue,Nedlands,WA,6009,2/16 Monash Avenue Nedlands WA 6009,"$615,000",Mar-21,Townhouse,3,1,1,107,107,1981,$495pw,Oct-15,
16 Mountjoy Road,Nedlands,WA,6009,16 Mountjoy Road Nedlands WA 6009,"$2,416,000",Mar-21,House,4,2,2,"1,012",210,1960,,,Mitra Roshan
35 Langham Street,Nedlands,WA,6009,35 Langham Street Nedlands WA 6009,"$1,780,000",Feb-21,House,4,2,2,908,220,1929,,,Michelle Kerr
45 Webster Street,Nedlands,WA,6009,45 Webster Street Nedlands WA 6009,"$2,928,888",Feb-21,House,5,3,2,"1,012",379,1935,"$1,900pw",May-19,James Thompson
37a Cooper Street,Nedlands,WA,6009,37a Cooper Street Nedlands WA 6009,"$865,000",Feb-21,House,3,2,1,,102,1930,,,
8 Taylor Road,Nedlands,WA,6009,8 Taylor Road Nedlands WA 6009,"$1,850,000",Jan-21,House,2,1,0,923,,1923,,,
33 Martin Avenue,Nedlands,WA,6009,33 Martin Avenue Nedlands WA 6009,"$1,650,000",Jan-21,House,3,1,2,"1,012",,1925,,,Michelle Kerr
"Lot 4, 27 Baird Avenue",Nedlands,WA,6009,"Lot 4, 27 Baird Avenue Nedlands WA 6009","$530,000",Jan-21,Land,,,,230,,,,,
45 Viewway,Nedlands,WA,6009,45 Viewway Nedlands WA 6009,"$1,900,000",Jan-21,House,4,2,2,880,227,1937,,,Michelle Kerr
25 Elizabeth Street,Nedlands,WA,6009,25 Elizabeth Street Nedlands WA 6009,"$2,200,000",Jan-21,House,4,2,4,809,280,1950,,,Michelle Kerr
10 Taylor Road,Nedlands,WA,6009,10 Taylor Road Nedlands WA 6009,"$1,750,000",Jan-21,House,4,2,2,923,,1987,,,
12 Taylor Road,Nedlands,WA,6009,12 Taylor Road Nedlands WA 6009,"$1,750,000",Jan-21,House,5,2,1,923,,1977,,,
31 Napier Street,Nedlands,WA,6009,31 Napier Street Nedlands WA 6009,"$2,350,000",Jan-21,House,4,2,2,696,317,2012,$850pw,Oct-08,
43 Viewway,Nedlands,WA,6009,43 Viewway Nedlands WA 6009,"$1,680,000",Dec-20,House,4,2,2,880,170,1975,$800pw,Jan-09,Michelle Kerr
61 Meriwa Street,Nedlands,WA,6009,61 Meriwa Street Nedlands WA 6009,"$1,155,000",Dec-20,House,2,1,1,456,98,1945,$550pw,Mar-19,
1/28 Stirling Highway,Nedlands,WA,6009,1/28 Stirling Highway Nedlands WA 6009,"$720,000",Dec-20,House,4,2,1,109,109,1979,,,Peter Clements
81 Mountjoy Road,Nedlands,WA,6009,81 Mountjoy Road Nedlands WA 6009,"$2,750,000",Dec-20,House,4,3,1,"1,013",395,2012,$500pw,Nov-10,
31 Waroonga Road,Nedlands,WA,6009,31 Waroonga Road Nedlands WA 6009,"$1,840,000",Dec-20,House,3,2,4,923,147,1939,$950pw,Dec-20,
15 Dalkeith Road,Nedlands,WA,6009,15 Dalkeith Road Nedlands WA 6009,"$1,900,000",Nov-20,House,4,2,2,"1,012",238,2011,,,
100A Smyth Road,Nedlands,WA,6009,100A Smyth Road Nedlands WA 6009,"$585,000",Nov-20,Land,,,,307,,,,,Mitra Roshan
46 Rockton Road,Nedlands,WA,6009,46 Rockton Road Nedlands WA 6009,"$1,628,000",Nov-20,House,4,1,6,923,220,1967,,,Ken Baker
8/111 Stirling Highway,Nedlands,WA,6009,8/111 Stirling Highway Nedlands WA 6009,"$470,000",Nov-20,House,3,1,1,73,73,1979,$400pw,Apr-17,
36 Webster Street,Nedlands,WA,6009,36 Webster Street Nedlands WA 6009,"$1,840,000",Nov-20,House,4,1,1,"1,012",133,1933,,,
4/2a Marita Road,Nedlands,WA,6009,4/2a Marita Road Nedlands WA 6009,"$550,000",Nov-20,Townhouse,2,1,1,83,77,1965,$625pw,Dec-19,Paul Owen
17 Kinninmont Avenue,Nedlands,WA,6009,17 Kinninmont Avenue Nedlands WA 6009,"$1,490,000",Nov-20,House,3,2,1,"1,034",134,1937,,,
9/192 Hampden Road,Nedlands,WA,6009,9/192 Hampden Road Nedlands WA 6009,"$512,000",Nov-20,Townhouse,3,2,2,152,108,1999,$400pw,Aug-17,
25B Dalkeith Road,Nedlands,WA,6009,25B Dalkeith Road Nedlands WA 6009,"$1,750,000",Nov-20,House,3,2,2,327,80,1965,,,
25A Dalkeith Road,Nedlands,WA,6009,25A Dalkeith Road Nedlands WA 6009,"$1,750,000",Nov-20,House,3,2,2,393,94,1965,$500pw,Aug-14,
4/61 Stirling Highway,Nedlands,WA,6009,4/61 Stirling Highway Nedlands WA 6009,"$325,000",Nov-20,Unit,2,1,0,98,90,1967,$400pw,Nov-20,
39 Marita Road,Nedlands,WA,6009,39 Marita Road Nedlands WA 6009,"$1,610,000",Nov-20,House,3,2,2,923,137,1959,$825pw,Nov-20,
65 Mountjoy Road,Nedlands,WA,6009,65 Mountjoy Road Nedlands WA 6009,"$2,799,000",Nov-20,House,5,5,2,"1,012",384,1937,,,
"Lot 2, 27 Baird Avenue",Nedlands,WA,6009,"Lot 2, 27 Baird Avenue Nedlands WA 6009","$530,000",Oct-20,Land,,,,194,,,,,
73 Smyth Road,Nedlands,WA,6009,73 Smyth Road Nedlands WA 6009,"$1,360,000",Oct-20,House,3,2,1,"1,041",195,1954,$650pw,Apr-19,Mitra Roshan
3/50 Ord Street,Nedlands,WA,6009,3/50 Ord Street Nedlands WA 6009,"$1,060,000",Oct-20,House,3,2,2,,,,,,
95 Smyth Road,Nedlands,WA,6009,95 Smyth Road Nedlands WA 6009,"$1,620,000",Oct-20,House,3,2,2,"1,020",188,1925,,,
8/35 Esplanade,Nedlands,WA,6009,8/35 Esplanade Nedlands WA 6009,"$1,290,000",Oct-20,Apartment,3,2,2,211,146,2008,,,
23B Bulimba Road,Nedlands,WA,6009,23B Bulimba Road Nedlands WA 6009,"$1,058,000",Oct-20,House,3,2,2,519,180,1958,,,Murray Peter
37 Kinninmont Avenue,Nedlands,WA,6009,37 Kinninmont Avenue Nedlands WA 6009,"$1,750,000",Oct-20,Land,4,2,,1012,,1964,,,
2/35 Esplanade,Nedlands,WA,6009,2/35 Esplanade Nedlands WA 6009,"$1,600,000",Oct-20,Apartment,2,2,2,222,140,2008,"$1,350pw",Feb-21,
48 Doonan Road,Nedlands,WA,6009,48 Doonan Road Nedlands WA 6009,"$1,650,000",Oct-20,House,3,2,3,997,242,1950,$575pw,Jul-19,
1/3 VIncent Street,Nedlands,WA,6009,1/3 VIncent Street Nedlands WA 6009,"$510,000",Oct-20,Townhouse,2,1,1,69,69,1979,$385pw,Oct-09,
19/28 Stirling Highway,Nedlands,WA,6009,19/28 Stirling Highway Nedlands WA 6009,"$515,000",Sep-20,Townhouse,2,1,1,102,90,1979,$400pw,Jul-16,
29 Portland Street,Nedlands,WA,6009,29 Portland Street Nedlands WA 6009,"$1,635,000",Sep-20,House,3,1,2,907,181,1936,$750pw,Feb-19,
81 Vincent Street,Nedlands,WA,6009,81 Vincent Street Nedlands WA 6009,"$1,730,000",Aug-20,House,4,2,2,"1,165",195,1939,,,
2/26 Broome Street,Nedlands,WA,6009,2/26 Broome Street Nedlands WA 6009,"$430,000",Aug-20,Townhouse,2,1,1,82,64,1976,,,
2/63 Stirling Highway,Nedlands,WA,6009,2/63 Stirling Highway Nedlands WA 6009,"$430,000",Aug-20,Townhouse,2,1,0,88,70,1949,$350pw,Sep-18,
40 Boronia Avenue,Nedlands,WA,6009,40 Boronia Avenue Nedlands WA 6009,"$1,820,000",Aug-20,House,5,3,6,"1,013",248,1938,"$1,200pw",Oct-20,
20 Webster Street,Nedlands,WA,6009,20 Webster Street Nedlands WA 6009,"$1,900,000",Aug-20,House,3,1,2,"1,012",,1933,,,
22/35 Esplanade,Nedlands,WA,6009,22/35 Esplanade Nedlands WA 6009,"$2,400,000",Jul-20,Apartment,3,4,2,240,179,2008,,,
70 Viewway,Nedlands,WA,6009,70 Viewway Nedlands WA 6009,"$1,635,000",Jul-20,House,3,2,2,911,,1971,$960pw,Sep-20,
39 Tyrell Street,Nedlands,WA,6009,39 Tyrell Street Nedlands WA 6009,"$1,900,000",Jul-20,House,5,3,2,"1,012",285,1930,,,
10/26 Broome Street,Nedlands,WA,6009,10/26 Broome Street Nedlands WA 6009,"$520,000",Jul-20,Townhouse,3,1,2,110,110,1976,$440pw,May-19,
51 Florence Road,Nedlands,WA,6009,51 Florence Road Nedlands WA 6009,"$1,625,000",Jul-20,House,4,2,2,"1,012",215,1950,$950pw,Jul-20,
22 Ord Street,Nedlands,WA,6009,22 Ord Street Nedlands WA 6009,"$1,722,500",Jun-20,House,5,3,3,696,289,2019,"$1,300pw",May-20,
70 Vincent Street,Nedlands,WA,6009,70 Vincent Street Nedlands WA 6009,"$2,720,000",Jun-20,House,5,3,2,"1,133",436,2015,,,
105/30 The Avenue,Nedlands,WA,6009,105/30 The Avenue Nedlands WA 6009,"$920,000",Jun-20,Apartment,2,3,2,181,121,2009,$850pw,Mar-20,Cheryl Stewart
22 Kingston Street,Nedlands,WA,6009,22 Kingston Street Nedlands WA 6009,"$2,150,000",Jun-20,House,4,2,4,"1,277",355,1977,"$1,800pw",Mar-20,
16 Viewway,Nedlands,WA,6009,16 Viewway Nedlands WA 6009,"$1,500,000",Jun-20,House,4,2,2,880,171,1972,$625pw,Apr-20,
3/29 The Avenue,Nedlands,WA,6009,3/29 The Avenue Nedlands WA 6009,"$875,000",May-20,Townhouse,2,2,2,158,131,2002,,,
20 Kingsway,Nedlands,WA,6009,20 Kingsway Nedlands WA 6009,"$1,800,000",May-20,House,4,1,1,880,177,1950,$850pw,Aug-14,
47 Bulimba Road,Nedlands,WA,6009,47 Bulimba Road Nedlands WA 6009,"$2,100,000",May-20,House,4,2,6,923,246,1939,"$1,350pw",Jul-15,
10/28 Stirling Highway,Nedlands,WA,6009,10/28 Stirling Highway Nedlands WA 6009,"$415,000",May-20,Unit,2,1,1,101,101,1979,,,
104 Tyrell Street,Nedlands,WA,6009,104 Tyrell Street Nedlands WA 6009,"$1,700,000",May-20,House,6,3,2,834,,1955,,,
55 Kingsway,Nedlands,WA,6009,55 Kingsway Nedlands WA 6009,"$1,975,000",May-20,House,3,2,2,875,262,1999,,,
66 Louise Street,Nedlands,WA,6009,66 Louise Street Nedlands WA 6009,"$2,100,000",Apr-20,House,4,3,2,"1,012",377,2007,"$2,000pw",Feb-11,
62 Williams Road,Nedlands,WA,6009,62 Williams Road Nedlands WA 6009,"$1,205,000",Apr-20,House,4,3,1,455,203,1937,$800pw,Nov-17,
24/35 Esplanade,Nedlands,WA,6009,24/35 Esplanade Nedlands WA 6009,"$3,250,000",Apr-20,Apartment,3,3,3,265,184,2008,"$1,900pw",Apr-19,
18 Webster Street,Nedlands,WA,6009,18 Webster Street Nedlands WA 6009,"$1,970,000",Apr-20,House,4,3,2,"1,012",212,1950,,,
52 The Avenue,Nedlands,WA,6009,52 The Avenue Nedlands WA 6009,"$2,600,000",Apr-20,House,4,3,2,683,322,2012,"$2,300pw",Dec-17,
97 Smyth Road,Nedlands,WA,6009,97 Smyth Road Nedlands WA 6009,"$1,600,000",Apr-20,House,4,2,1,"1,012",217,1932,$650pw,Feb-21,
6 Baird Avenue,Nedlands,WA,6009,6 Baird Avenue Nedlands WA 6009,"$2,300,000",Mar-20,House,3,3,2,"1,012",257,2019,,,
2/24 Tareena Street,Nedlands,WA,6009,2/24 Tareena Street Nedlands WA 6009,"$600,000",Mar-20,Townhouse,3,1,1,109,116,1984,$500pw,Nov-10,
67 Dalkeith Road,Nedlands,WA,6009,67 Dalkeith Road Nedlands WA 6009,"$1,615,000",Mar-20,House,4,2,2,"1,012",220,1950,,,
6 Bedford Street,Nedlands,WA,6009,6 Bedford Street Nedlands WA 6009,"$1,520,000",Mar-20,House,3,1,2,"1,012",,1936,$520pw,Jan-20,Amanda Gray
27 Edward Street,Nedlands,WA,6009,27 Edward Street Nedlands WA 6009,"$2,350,000",Mar-20,House,5,3,3,964,409,2006,,,
22 Edward Street,Nedlands,WA,6009,22 Edward Street Nedlands WA 6009,"$1,720,000",Feb-20,House,4,3,4,809,143,1940,,,
21 Viewway,Nedlands,WA,6009,21 Viewway Nedlands WA 6009,"$1,775,000",Feb-20,House,5,2,2,880,365,1989,,,
93 Stanley Street,Nedlands,WA,6009,93 Stanley Street Nedlands WA 6009,"$2,775,000",Feb-20,House,3,2,6,"1,012",296,2010,,,
30 DOONAN ROAD,Nedlands,WA,6009,30 DOONAN ROAD Nedlands WA 6009,"$2,000,000",Feb-20,House,4,2,2,994,287,1935,"$1,300pw",May-19,
89 Clifton Street,Nedlands,WA,6009,89 Clifton Street Nedlands WA 6009,"$1,050,000",Feb-20,House,3,1,1,468,124,1945,,,
82 Webster Street,Nedlands,WA,6009,82 Webster Street Nedlands WA 6009,"$2,700,000",Feb-20,House,4,2,2,"1,012",356,1935,"$1,150pw",Nov-08,
12 Napier Street,Nedlands,WA,6009,12 Napier Street Nedlands WA 6009,"$1,200,000",Feb-20,House,4,2,2,696,178,1920,,,
24 Clark Street,Nedlands,WA,6009,24 Clark Street Nedlands WA 6009,"$1,820,000",Feb-20,House,2,1,1,911,100,1926,$400pw,Dec-19,
5/111 Stirling Highway,Nedlands,WA,6009,5/111 Stirling Highway Nedlands WA 6009,"$460,000",Feb-20,Townhouse,2,1,2,72,72,1979,$350pw,Nov-16,
1/26 Broome Street,Nedlands,WA,6009,1/26 Broome Street Nedlands WA 6009,"$490,000",Feb-20,Townhouse,2,1,4,65,65,1980,,,
32 Kinninmont Avenue,Nedlands,WA,6009,32 Kinninmont Avenue Nedlands WA 6009,"$2,350,000",Jan-20,House,5,3,2,"1,012",291,1952,,,
82 Bruce Street,Nedlands,WA,6009,82 Bruce Street Nedlands WA 6009,"$1,325,000",Jan-20,House,3,2,2,885,141,1970,,,
44 Bulimba Road,Nedlands,WA,6009,44 Bulimba Road Nedlands WA 6009,"$2,225,000",Jan-20,House,5,3,2,923,289,1940,,,
27 Megalong Street,Nedlands,WA,6009,27 Megalong Street Nedlands WA 6009,"$1,050,000",Jan-20,House,3,1,4,491,119,1916,$550pw,Jan-20,
2B Bulimba Road,Nedlands,WA,6009,2B Bulimba Road Nedlands WA 6009,"$830,000",Jan-20,House,2,1,1,124,124,1985,,,
1 Betty Street,Nedlands,WA,6009,1 Betty Street Nedlands WA 6009,"$1,420,000",Jan-20,House,3,1,1,799,138,1946,,,
26 Waroonga Road,Nedlands,WA,6009,26 Waroonga Road Nedlands WA 6009,"$2,300,000",Jan-20,House,6,4,2,923,209,1905,,,
145 Dalkeith Road,Nedlands,WA,6009,145 Dalkeith Road Nedlands WA 6009,"$1,990,050",Jan-20,House,4,3,1,"1,153",245,1939,,,
43 Mountjoy Road,Nedlands,WA,6009,43 Mountjoy Road Nedlands WA 6009,"$1,650,000",Jan-20,House,4,2,2,"1,012",312,1960,,,
96 Smyth Road,Nedlands,WA,6009,96 Smyth Road Nedlands WA 6009,"$1,690,000",Dec-19,House,4,3,2,908,267,1930,"$1,550pw",Feb-18,
20 Cooper Street,Nedlands,WA,6009,20 Cooper Street Nedlands WA 6009,"$1,620,000",Dec-19,House,3,1,2,911,,1926,$700pw,Nov-20,
58 The Avenue,Nedlands,WA,6009,58 The Avenue Nedlands WA 6009,"$4,500,000",Dec-19,House,5,4,4,"1,045",489,2008,,,
92 Smyth Road,Nedlands,WA,6009,92 Smyth Road Nedlands WA 6009,"$1,700,000",Dec-19,House,3,1,1,908,,1946,,,
100 Smyth Road,Nedlands,WA,6009,100 Smyth Road Nedlands WA 6009,"$1,495,000",Dec-19,House,4,3,2,601,234,1930,,,
46 Mountjoy Road,Nedlands,WA,6009,46 Mountjoy Road Nedlands WA 6009,"$2,020,000",Dec-19,House,4,3,2,"1,012",273,1950,,,
45 Napier Street,Nedlands,WA,6009,45 Napier Street Nedlands WA 6009,"$1,110,000",Dec-19,House,4,2,2,696,188,1981,,,
5/63 Stirling Highway,Nedlands,WA,6009,5/63 Stirling Highway Nedlands WA 6009,"$450,000",Nov-19,Unit,2,1,0,84,84,1949,$375pw,Jul-20,
6/192 Hampden Road,Nedlands,WA,6009,6/192 Hampden Road Nedlands WA 6009,"$535,000",Nov-19,Townhouse,3,2,2,164,118,1999,$595pw,May-10,
1/36 Megalong Street,Nedlands,WA,6009,1/36 Megalong Street Nedlands WA 6009,"$680,000",Nov-19,Townhouse,3,1,2,122,122,1981,$700pw,Jun-13,
11 Leura Street,Nedlands,WA,6009,11 Leura Street Nedlands WA 6009,"$1,070,000",Nov-19,House,3,2,3,455,156,1982,,,
1 Elizabeth Street,Nedlands,WA,6009,1 Elizabeth Street Nedlands WA 6009,"$1,315,000",Nov-19,House,3,3,4,331,241,2002,,,
74 The Avenue,Nedlands,WA,6009,74 The Avenue Nedlands WA 6009,"$4,950,000",Oct-19,House,5,6,4,"15,156,365",984,2021,,,
49 Tyrell Street,Nedlands,WA,6009,49 Tyrell Street Nedlands WA 6009,"$2,450,000",Oct-19,House,6,5,4,"1,012",394,1991,,,
96 Kingsway,Nedlands,WA,6009,96 Kingsway Nedlands WA 6009,"$2,240,000",Oct-19,House,2,3,2,722,333,2016,,,
98 Smyth Road,Nedlands,WA,6009,98 Smyth Road Nedlands WA 6009,"$1,655,000",Oct-19,House,4,2,4,908,165,1939,,,
39 Robinson Street,Nedlands,WA,6009,39 Robinson Street Nedlands WA 6009,"$1,105,000",Sep-19,House,4,2,2,696,,1976,,,
4/53 Stirling Highway,Nedlands,WA,6009,4/53 Stirling Highway Nedlands WA 6009,"$415,000",Sep-19,Townhouse,2,1,1,84,84,1966,,,Shellabears - Cottesloe
20 Hillway,Nedlands,WA,6009,20 Hillway Nedlands WA 6009,"$1,750,000",Sep-19,House,3,2,2,"1,012",304,1981,$875pw,Sep-19,
5/1 Park Road,Nedlands,WA,6009,5/1 Park Road Nedlands WA 6009,"$715,000",Sep-19,Townhouse,3,2,2,123,119,2006,$650pw,Jul-12,Shellabears - Cottesloe
18 Doonan Road,Nedlands,WA,6009,18 Doonan Road Nedlands WA 6009,"$2,000,000",Sep-19,House,3,3,2,195,,2021,,,
40 Dalkeith Road,Nedlands,WA,6009,40 Dalkeith Road Nedlands WA 6009,"$1,635,000",Aug-19,House,3,2,5,"1,013",152,1925,,,
20 Lupin Hill Grove,Nedlands,WA,6009,20 Lupin Hill Grove Nedlands WA 6009,"$1,600,000",Aug-19,House,4,3,2,232,203,2008,,,
12/3 Vincent Street,Nedlands,WA,6009,12/3 Vincent Street Nedlands WA 6009,"$440,000",Aug-19,Townhouse,2,1,1,68,68,1979,,,Carmen Tutor
19 Louise Street,Nedlands,WA,6009,19 Louise Street Nedlands WA 6009,"$2,400,000",Aug-19,House,5,2,2,"1,015",,1946,$850pw,Jun-20,
32 Louise Street,Nedlands,WA,6009,32 Louise Street Nedlands WA 6009,"$1,660,000",Aug-19,House,4,2,1,"1,012",280,1980,"$1,000pw",Nov-14,
25 Louise Street,Nedlands,WA,6009,25 Louise Street Nedlands WA 6009,"$2,160,000",Aug-19,House,4,3,2,"1,012",282,1935,,,
2C Kanimbla Road,Nedlands,WA,6009,2C Kanimbla Road Nedlands WA 6009,"$576,000",Jul-19,Townhouse,3,1,2,116,117,1977,$560pw,Jul-19,
8/7 Taylor Road,Nedlands,WA,6009,8/7 Taylor Road Nedlands WA 6009,"$441,000",Jul-19,Apartment,2,1,1,93,74,1973,$460pw,Feb-13,Dan Hegney Property Group
20 Dalkeith Road,Nedlands,WA,6009,20 Dalkeith Road Nedlands WA 6009,"$1,400,000",Jul-19,House,3,2,2,"1,037",138,1947,,,Gordon Davies Real Estate - DALKEITH
42 Mountjoy Road,Nedlands,WA,6009,42 Mountjoy Road Nedlands WA 6009,"$1,700,000",Jul-19,House,4,3,4,"1,012",210,1950,,,
2 Louise Street,Nedlands,WA,6009,2 Louise Street Nedlands WA 6009,"$1,145,000",Jul-19,House,3,2,2,340,195,1995,,,Airey Real Estate
91 Melvista Avenue,Nedlands,WA,6009,91 Melvista Avenue Nedlands WA 6009,"$1,730,000",Jul-19,House,3,2,2,999,,1938,,,
33 Mountjoy Road,Nedlands,WA,6009,33 Mountjoy Road Nedlands WA 6009,"$1,735,000",Jul-19,House,4,2,2,"1,012",,1990,,,
44 Hillway,Nedlands,WA,6009,44 Hillway Nedlands WA 6009,"$2,150,000",Jul-19,House,4,3,4,979,339,2015,"$1,750pw",May-19,
27 Clark Street,Nedlands,WA,6009,27 Clark Street Nedlands WA 6009,"$735,000",Jul-19,House,2,1,3,118,118,1939,$350pw,Aug-17,Kempton Azzopardi - Nedlands
22 Vincent Street,Nedlands,WA,6009,22 Vincent Street Nedlands WA 6009,"$1,900,000",Jun-19,House,4,2,1,1014,,2021,,,
21 Vincent Street,Nedlands,WA,6009,21 Vincent Street Nedlands WA 6009,"$2,060,000",Jun-19,House,3,2,2,994,211,1955,,,
103 Smyth Road,Nedlands,WA,6009,103 Smyth Road Nedlands WA 6009,"$1,025,000",Jun-19,House,3,2,2,235,198,2017,,,Burswood Peninsula Real Estate - BURSWOOD
50 Ord Street,Nedlands,WA,6009,50 Ord Street Nedlands WA 6009,"$1,100,000",Jun-19,House,3,2,2,696,203,2020,,,
29 Vincent Street,Nedlands,WA,6009,29 Vincent Street Nedlands WA 6009,"$1,875,000",Jun-19,House,4,3,2,997,240,1950,"$1,450pw",May-19,GRAY & CO. REALTY - Dalkeith
37 Hillway,Nedlands,WA,6009,37 Hillway Nedlands WA 6009,"$1,735,000",Jun-19,House,5,2,3,911,243,1920,,,
3/32 Martin Avenue,Nedlands,WA,6009,3/32 Martin Avenue Nedlands WA 6009,"$595,000",Jun-19,House,3,2,2,458,110,1993,$550pw,Feb-19,
7 Burwood Street,Nedlands,WA,6009,7 Burwood Street Nedlands WA 6009,"$1,700,000",May-19,House,4,2,2,"1,113",219,1920,$950pw,Jun-08,Gordon Davies Real Estate - DALKEITH
50 Webster Street,Nedlands,WA,6009,50 Webster Street Nedlands WA 6009,"$1,600,000",May-19,House,4,2,2,"1,012",,1933,,,Shellabears - Cottesloe
16B Kanimbla Road,Nedlands,WA,6009,16B Kanimbla Road Nedlands WA 6009,"$722,000",May-19,Townhouse,3,2,2,491,126,1982,$580pw,Dec-16,Abel McGrath Property Group
5B Marita Road,Nedlands,WA,6009,5B Marita Road Nedlands WA 6009,"$1,000,000",May-19,House,3,2,2,445,142,1993,,,Mint Real Estate - Claremont
11/1 Park Road,Nedlands,WA,6009,11/1 Park Road Nedlands WA 6009,"$550,000",May-19,Townhouse,1,1,1,115,91,2006,$470pw,May-19,Hub Residential
123 Dalkeith Road,Nedlands,WA,6009,123 Dalkeith Road Nedlands WA 6009,"$800,000",May-19,Land,,,,"1,012",,,,,
13/160 Hampden Road,Nedlands,WA,6009,13/160 Hampden Road Nedlands WA 6009,"$550,000",Apr-19,Townhouse,2,2,2,148,121,1999,$600pw,Oct-14,Abel McGrath Property Group - Claremont
